"id"	"famille"	1808	"Noble"	"Citoyen"	"famille.12e.siecle"
"520"	"schingolo"	"0"	"1"	"0"	"0"
"521"	"sisolo"	"0"	"1"	"0"	"0"
"522"	"sciola"	"0"	"1"	"0"	"0"
"523"	"sifolan"	"0"	"1"	"0"	"0"
"524"	"soardi"	"1"	"1"	"1"	"0"
"525"	"soderini"	"1"	"1"	"1"	"0"
"526"	"soranzo"	"1"	"1"	"1"	"1"
"527"	"soveri"	"0"	"1"	"0"	"0"
"528"	"spattafora"	"0"	"1"	"0"	"0"
"529"	"stadio"	"0"	"1"	"0"	"1"
"530"	"stalonici"	"0"	"1"	"0"	"0"
"531"	"storlanici"	"0"	"1"	"0"	"0"
"532"	"tornetti"	"0"	"1"	"0"	"0"
"533"	"stanici"	"0"	"1"	"0"	"0"
"534"	"stazio"	"1"	"1"	"0"	"0"
"535"	"steno"	"0"	"1"	"0"	"1"
"536"	"storlato"	"0"	"1"	"0"	"1"
"537"	"stornello"	"0"	"1"	"0"	"0"
"538"	"stropardo"	"0"	"1"	"0"	"0"
"539"	"suriani"	"0"	"1"	"1"	"0"
"540"	"tagliapietra"	"1"	"1"	"1"	"0"
"541"	"tasca"	"1"	"1"	"1"	"0"
"542"	"teneri"	"0"	"1"	"0"	"0"
"543"	"terzo"	"0"	"1"	"0"	"0"
"544"	"tiepolo"	"1"	"1"	"0"	"1"
"545"	"tinto"	"0"	"1"	"1"	"0"
"546"	"toderini"	"1"	"1"	"1"	"0"
"547"	"tolonigo"	"0"	"1"	"0"	"0"
"548"	"toncado"	"0"	"1"	"0"	"0"
"549"	"tonisto"	"0"	"1"	"1"	"1"
"550"	"torelli"	"0"	"1"	"0"	"0"
"551"	"tornadi"	"0"	"1"	"0"	"0"
"552"	"dalla torre"	"0"	"1"	"0"	"0"
"553"	"totulo"	"0"	"1"	"0"	"1"
"554"	"trasnodi"	"0"	"1"	"0"	"0"
"555"	"travasanti"	"0"	"1"	"0"	"0"
"556"	"trevisan"	"1"	"1"	"1"	"1"
"557"	"tristanzo"	"0"	"1"	"0"	"0"
"558"	"tristianio"	"0"	"1"	"0"	"0"
"559"	"tron"	"1"	"1"	"1"	"1"
"560"	"truzane"	"0"	"1"	"0"	"0"
"561"	"vadomeneghi"	"0"	"1"	"0"	"0"
"562"	"valaresso"	"1"	"1"	"0"	"1"
"563"	"valzer"	"0"	"1"	"0"	"0"
"564"	"valmarana"	"1"	"1"	"0"	"0"
"565"	"van axel"	"0"	"1"	"0"	"0"
"566"	"varani"	"0"	"1"	"0"	"0"
"567"	"vegio"	"0"	"1"	"0"	"0"
"568"	"vegliani"	"0"	"1"	"0"	"0"
"569"	"vioni"	"0"	"1"	"0"	"0"
"570"	"vendramin"	"1"	"1"	"0"	"0"
"571"	"venier"	"1"	"1"	"1"	"1"
"572"	"ventlo"	"0"	"1"	"0"	"0"
"573"	"de verardo"	"0"	"1"	"0"	"0"
"574"	"verdelin"	"0"	"1"	"0"	"0"
"575"	"verdizzotti"	"0"	"1"	"0"	"0"
"576"	"dal verme"	"0"	"1"	"0"	"0"
"577"	"veronese"	"1"	"1"	"0"	"0"
"578"	"vezzi"	"1"	"1"	"0"	"0"
"579"	"vianoli"	"0"	"1"	"0"	"0"
"580"	"viaro"	"1"	"1"	"0"	"0"
"581"	"vidali"	"0"	"1"	"1"	"0"
"582"	"vido"	"1"	"1"	"0"	"0"
"583"	"vidore"	"0"	"1"	"0"	"0"
"584"	"vielmo"	"0"	"1"	"0"	"0"
"585"	"vieri"	"0"	"1"	"0"	"0"
"586"	"veri"	"0"	"1"	"0"	"0"
"587"	"vignati"	"0"	"1"	"1"	"0"
"588"	"vilio"	"0"	"1"	"0"	"1"
"589"	"visconti"	"1"	"1"	"1"	"0"
"590"	"vitrigasi"	"0"	"1"	"0"	"0"
"591"	"vitrison"	"0"	"1"	"0"	"0"
"592"	"vitrenasco"	"0"	"1"	"0"	"0"
"593"	"vitrisoni"	"0"	"1"	"0"	"0"
"594"	"vitturi"	"1"	"1"	"0"	"1"
"595"	"vizzamano"	"0"	"1"	"0"	"0"
"596"	"volpe"	"0"	"1"	"1"	"0"
"597"	"widmann"	"1"	"1"	"0"	"0"
"598"	"zaccaria"	"0"	"1"	"1"	"0"
"599"	"zacco"	"0"	"1"	"0"	"0"
"600"	"zaguri"	"1"	"1"	"1"	"0"
"601"	"zambelli"	"1"	"1"	"1"	"0"
"602"	"zanardi"	"1"	"1"	"0"	"0"
"603"	"zancani"	"0"	"1"	"1"	"1"
"604"	"zancariol"	"0"	"1"	"0"	"0"
"605"	"zancarolo"	"0"	"1"	"0"	"0"
"606"	"zane"	"1"	"1"	"1"	"1"
"607"	"zanesi"	"0"	"1"	"0"	"0"
"608"	"zanasi"	"0"	"1"	"0"	"0"
"609"	"zanati"	"0"	"1"	"0"	"0"
"610"	"zaponi"	"0"	"1"	"0"	"0"
"611"	"zeno"	"0"	"1"	"1"	"0"
"612"	"zenobio"	"1"	"1"	"0"	"0"
"613"	"zianosi"	"0"	"1"	"0"	"0"
"614"	"zolio"	"1"	"1"	"0"	"0"
"615"	"zon"	"1"	"1"	"1"	"0"
"616"	"zorvani"	"0"	"1"	"0"	"0"
"617"	"zorzi"	"1"	"1"	"1"	"1"
"618"	"di zrin"	"0"	"1"	"0"	"0"
"619"	"zuccolo"	"0"	"1"	"0"	"0"
"620"	"zulian"	"0"	"1"	"0"	"1"
"621"	"zustinian"	"1"	"1"	"1"	"0"
"622"	"zusto"	"1"	"1"	"1"	"1"
"623"	"abioso"	"0"	"0"	"NA"	"0"
"624"	"abondio"	"0"	"0"	"1"	"0"
"625"	"accenti"	"0"	"0"	"1"	"0"
"626"	"accialino"	"0"	"0"	"1"	"0"
"627"	"acerbi"	"1"	"0"	"1"	"0"
"628"	"adelmari"	"0"	"0"	"1"	"0"
"629"	"adriani"	"0"	"0"	"1"	"1"
"630"	"agapito"	"0"	"0"	"1"	"0"
"631"	"agazzi"	"1"	"0"	"1"	"0"
"632"	"agostini"	"1"	"0"	"1"	"0"
"633"	"agugie"	"0"	"0"	"1"	"0"
"634"	"amano"	"0"	"0"	"1"	"0"
"635"	"airoldi"	"0"	"0"	"1"	"0"
"636"	"alario"	"0"	"0"	"1"	"0"
"637"	"alberegni"	"0"	"0"	"1"	"0"
"638"	"alberegno"	"1"	"0"	"1"	"0"
"639"	"alberghetti"	"0"	"0"	"1"	"0"
"640"	"alberigo"	"0"	"0"	"1"	"0"
"641"	"albertini"	"1"	"0"	"1"	"0"
"642"	"albertis"	"0"	"0"	"1"	"0"
"643"	"albici"	"0"	"0"	"1"	"0"
"644"	"albigni"	"0"	"0"	"1"	"0"
"645"	"alcaini"	"0"	"0"	"1"	"0"
"646"	"alcherio"	"0"	"0"	"1"	"0"
"647"	"aldimari"	"0"	"0"	"1"	"0"
"648"	"alemani"	"0"	"0"	"1"	"0"
"649"	"alemanti"	"0"	"0"	"1"	"0"
"650"	"alemini"	"0"	"0"	"1"	"0"
"651"	"aleppo"	"0"	"0"	"1"	"0"
"652"	"alessandri"	"1"	"0"	"1"	"0"
"653"	"alessi"	"0"	"0"	"1"	"0"
"654"	"algarotti"	"0"	"0"	"1"	"0"
"655"	"alioti"	"0"	"0"	"1"	"0"
"656"	"allegri"	"0"	"0"	"1"	"0"
"657"	"almerighi"	"0"	"0"	"1"	"0"
"658"	"aloisi"	"0"	"0"	"1"	"0"
"659"	"amadi"	"0"	"0"	"1"	"1"
"660"	"amai"	"0"	"0"	"1"	"0"
"661"	"ambrosani"	"0"	"0"	"1"	"0"
"662"	"ambrosi"	"1"	"0"	"1"	"0"
"663"	"amulio"	"0"	"0"	"1"	"0"
"664"	"andeli"	"0"	"0"	"1"	"0"
"665"	"andelo"	"0"	"0"	"1"	"0"
"666"	"andriani"	"0"	"0"	"1"	"0"
"667"	"andrieli"	"0"	"0"	"1"	"0"
"668"	"andrighetti"	"1"	"0"	"1"	"0"
"669"	"andruzzi"	"0"	"0"	"1"	"0"
"670"	"angeli"	"1"	"0"	"1"	"0"
"671"	"angelieri"	"0"	"0"	"1"	"0"
"672"	"angeloni"	"1"	"0"	"1"	"0"
"673"	"anna"	"0"	"0"	"1"	"0"
"674"	"annoni"	"0"	"0"	"1"	"0"
"675"	"anoale"	"0"	"0"	"1"	"0"
"676"	"antiquis"	"0"	"0"	"1"	"0"
"677"	"antonini"	"1"	"0"	"1"	"0"
"678"	"apollonio"	"0"	"0"	"1"	"0"
"679"	"apostoli"	"0"	"0"	"1"	"0"
"680"	"aquillina"	"0"	"0"	"1"	"0"
"681"	"aragazzi"	"0"	"0"	"1"	"0"
"682"	"arbosani"	"0"	"0"	"1"	"0"
"683"	"arcangeli"	"0"	"0"	"1"	"0"
"684"	"ardeo"	"0"	"0"	"1"	"0"
"685"	"argentino"	"0"	"0"	"1"	"0"
"686"	"armano"	"1"	"0"	"1"	"0"
"687"	"armellini"	"0"	"0"	"1"	"0"
"688"	"arnoldi"	"0"	"0"	"1"	"0"
"689"	"arpini"	"0"	"0"	"1"	"0"
"690"	"arriani"	"0"	"0"	"1"	"0"
"691"	"arrigoni"	"1"	"0"	"1"	"0"
"692"	"arringoti"	"0"	"0"	"1"	"0"
"693"	"arseo"	"0"	"0"	"1"	"0"
"694"	"artengo"	"0"	"0"	"1"	"0"
"695"	"artico"	"0"	"0"	"1"	"0"
"696"	"artusi"	"0"	"0"	"1"	"0"
"697"	"arunzio"	"0"	"0"	"1"	"0"
"698"	"ascarelli"	"0"	"0"	"1"	"0"
"699"	"assonica"	"0"	"0"	"1"	"0"
"700"	"astori"	"1"	"0"	"1"	"0"
"701"	"aurelii"	"0"	"0"	"1"	"0"
"702"	"avantii"	"0"	"0"	"1"	"0"
"703"	"avanzo"	"1"	"0"	"1"	"0"
"704"	"aviani"	"0"	"0"	"1"	"0"
"705"	"azzalin"	"0"	"0"	"1"	"0"
"706"	"baccanello"	"1"	"0"	"1"	"0"
"707"	"badoaro"	"0"	"0"	"1"	"0"
"708"	"bagnolo"	"0"	"0"	"1"	"0"
"709"	"balanzani"	"0"	"0"	"1"	"0"
"710"	"baldassari"	"0"	"0"	"1"	"0"
"711"	"baldo"	"0"	"0"	"1"	"0"
"712"	"balduini"	"0"	"0"	"1"	"0"
"713"	"balino"	"0"	"0"	"1"	"0"
"714"	"ballarin"	"1"	"0"	"1"	"0"
"715"	"bandi"	"0"	"0"	"1"	"0"
"716"	"barbafela"	"0"	"0"	"1"	"0"
"717"	"barbarico"	"0"	"0"	"1"	"0"
"718"	"barbato"	"0"	"0"	"1"	"0"
"719"	"barbieri"	"1"	"0"	"1"	"0"
"720"	"bardelllni"	"0"	"0"	"1"	"0"
"721"	"bardese"	"1"	"0"	"1"	"0"
"722"	"barbucci"	"0"	"0"	"1"	"0"
"723"	"bariletti"	"0"	"0"	"1"	"0"
"724"	"barocci"	"0"	"0"	"1"	"0"
"725"	"baroncelli"	"1"	"0"	"1"	"0"
"726"	"baronio"	"0"	"0"	"1"	"0"
"727"	"barra"	"0"	"0"	"1"	"0"
"728"	"bartoli"	"1"	"0"	"1"	"0"
"729"	"bartolini"	"1"	"0"	"1"	"0"
"730"	"bartolomei"	"0"	"0"	"1"	"0"
"731"	"baseli"	"0"	"0"	"1"	"0"
"732"	"baselli"	"0"	"0"	"1"	"0"
"733"	"basilio"	"0"	"0"	"1"	"1"
"734"	"basoli"	"0"	"0"	"1"	"0"
"735"	"bassiani"	"0"	"0"	"1"	"0"
"736"	"basso"	"1"	"0"	"1"	"0"
"737"	"batisti"	"0"	"0"	"1"	"0"
"738"	"battagia"	"1"	"0"	"1"	"0"
"739"	"bavella"	"0"	"0"	"1"	"0"
"740"	"beaciani"	"0"	"0"	"1"	"0"
"741"	"beaqua"	"0"	"0"	"1"	"0"
"742"	"beato"	"0"	"0"	"1"	"0"
"743"	"beccherini"	"0"	"0"	"1"	"0"
"744"	"becichemo"	"0"	"0"	"1"	"0"
"745"	"belforte"	"0"	"0"	"1"	"0"
"746"	"bellan"	"0"	"0"	"1"	"0"
"747"	"bellato"	"1"	"0"	"1"	"0"
"748"	"bellaver"	"0"	"0"	"1"	"0"
"749"	"de belli"	"0"	"0"	"1"	"1"
"750"	"bellino"	"0"	"0"	"1"	"0"
"751"	"belosello"	"0"	"0"	"1"	"0"
"752"	"beltrame"	"0"	"0"	"1"	"0"
"753"	"beltramelli"	"1"	"0"	"1"	"0"
"754"	"benelio"	"0"	"0"	"1"	"0"
"755"	"benci"	"0"	"0"	"1"	"0"
"756"	"beni"	"1"	"0"	"1"	"0"
"757"	"benincasa"	"0"	"0"	"1"	"0"
"758"	"benintendi"	"0"	"0"	"1"	"0"
"759"	"benzio"	"0"	"0"	"1"	"0"
"760"	"benzi zecchini"	"0"	"0"	"1"	"0"
"761"	"berengo"	"1"	"0"	"1"	"1"
"762"	"bergantini"	"0"	"0"	"1"	"0"
"763"	"bernabue"	"0"	"0"	"1"	"0"
"764"	"bernardini"	"0"	"0"	"1"	"0"
"765"	"bertaldo"	"0"	"0"	"1"	"0"
"766"	"berti"	"1"	"0"	"1"	"0"
"767"	"bertoldo"	"0"	"0"	"1"	"0"
"768"	"bertolini"	"0"	"0"	"1"	"0"
"769"	"bertotti"	"1"	"0"	"1"	"0"
"770"	"betuzzi"	"0"	"0"	"1"	"0"
"771"	"bevazzano"	"0"	"0"	"1"	"0"
"772"	"bevilacqua"	"1"	"0"	"1"	"0"
"773"	"biamo"	"0"	"0"	"1"	"0"
"774"	"bianchi"	"1"	"0"	"1"	"0"
"775"	"bianchini"	"1"	"0"	"1"	"0"
"776"	"bianza"	"1"	"0"	"1"	"0"
"777"	"bicci"	"0"	"0"	"1"	"0"
"778"	"bigaia"	"0"	"0"	"1"	"0"
"779"	"biondi"	"1"	"0"	"1"	"0"
"780"	"biondo"	"0"	"0"	"1"	"0"
"781"	"birago"	"0"	"0"	"1"	"0"
"782"	"bisanzan"	"0"	"0"	"1"	"0"
"783"	"bissuol"	"0"	"0"	"1"	"0"
"784"	"bissuti"	"0"	"0"	"1"	"0"
"785"	"bocchi"	"0"	"0"	"1"	"0"
"786"	"bocco"	"0"	"0"	"1"	"0"
"787"	"boccadivacca"	"0"	"0"	"1"	"0"
"788"	"bodinoni"	"0"	"0"	"1"	"0"
"789"	"bognolo"	"0"	"0"	"1"	"0"
"790"	"boldrini"	"1"	"0"	"1"	"0"
"791"	"boldù"	"0"	"0"	"1"	"0"
"792"	"bolgarini"	"0"	"0"	"1"	"0"
"793"	"bombardini"	"0"	"0"	"1"	"0"
"794"	"bona"	"1"	"0"	"1"	"0"
"795"	"bonaccorsi"	"0"	"0"	"1"	"0"
"796"	"bonamico"	"0"	"0"	"1"	"0"
"797"	"bonamor"	"0"	"0"	"1"	"0"
"798"	"bonanim"	"0"	"0"	"1"	"0"
"799"	"bonardi"	"0"	"0"	"1"	"0"
"800"	"bonaventura"	"0"	"0"	"1"	"0"
"801"	"bonben"	"0"	"0"	"1"	"0"
"802"	"boncambi"	"0"	"0"	"1"	"0"
"803"	"bonetto"	"0"	"0"	"1"	"0"
"804"	"bonfandini gritti"	"0"	"0"	"1"	"0"
"805"	"bonguadagno"	"0"	"0"	"1"	"0"
"806"	"bonicardi"	"0"	"0"	"1"	"0"
"807"	"bonicelli"	"1"	"0"	"1"	"0"
"808"	"bonifacio"	"0"	"0"	"1"	"0"
"809"	"bonincontro"	"0"	"0"	"1"	"0"
"810"	"boniol"	"0"	"0"	"1"	"0"
"811"	"bonmendi"	"0"	"0"	"1"	"0"
"812"	"bonolli"	"0"	"0"	"1"	"0"
"813"	"bonomo"	"1"	"0"	"1"	"0"
"814"	"bonriccio"	"0"	"0"	"1"	"0"
"815"	"bontempo"	"0"	"0"	"1"	"0"
"816"	"bontade"	"0"	"0"	"1"	"0"
"817"	"bontremolo"	"0"	"0"	"1"	"0"
"818"	"bonzio"	"1"	"0"	"1"	"0"
"819"	"bora"	"0"	"0"	"1"	"0"
"820"	"borghesaleo"	"0"	"0"	"1"	"0"
"821"	"borghi"	"1"	"0"	"1"	"0"
"822"	"borizzo"	"0"	"0"	"1"	"0"
"823"	"borromeo"	"0"	"0"	"1"	"0"
"824"	"bortoli"	"1"	"0"	"1"	"0"
"825"	"bortolucci"	"0"	"0"	"1"	"0"
"826"	"bosello"	"0"	"0"	"1"	"0"
"827"	"bosso"	"0"	"0"	"1"	"0"
"828"	"bottin"	"0"	"0"	"1"	"0"
"829"	"bottoni"	"0"	"0"	"1"	"0"
"830"	"bozza"	"0"	"0"	"1"	"0"
"831"	"bozzoni"	"0"	"0"	"1"	"0"
"832"	"bracchi"	"0"	"0"	"1"	"0"
"833"	"bragolini"	"0"	"0"	"1"	"0"
"834"	"braida"	"1"	"0"	"1"	"0"
"835"	"brandi"	"0"	"0"	"1"	"0"
"836"	"brazolin"	"0"	"0"	"1"	"0"
"837"	"brazzo"	"0"	"0"	"1"	"0"
"838"	"bressan"	"1"	"0"	"1"	"0"
"839"	"breati"	"0"	"0"	"1"	"0"
"840"	"brevii"	"0"	"0"	"1"	"0"
"841"	"brinis"	"0"	"0"	"1"	"0"
"842"	"broccardo"	"0"	"0"	"1"	"0"
"843"	"brochetti"	"0"	"0"	"1"	"0"
"844"	"brolo"	"0"	"0"	"1"	"0"
"845"	"brombilla"	"0"	"0"	"1"	"0"
"846"	"bronzini"	"0"	"0"	"1"	"0"
"847"	"brugnera"	"0"	"0"	"1"	"0"
"848"	"brumati"	"0"	"0"	"1"	"0"
"849"	"brunacini"	"0"	"0"	"1"	"0"
"850"	"bruno"	"0"	"0"	"1"	"0"
"851"	"bruolo"	"0"	"0"	"1"	"0"
"852"	"bruti"	"0"	"0"	"1"	"0"
"853"	"bruzzoni"	"0"	"0"	"1"	"0"
"854"	"buccari"	"0"	"0"	"1"	"0"
"855"	"bufetti"	"0"	"0"	"1"	"0"
"856"	"buffarelli"	"0"	"0"	"1"	"0"
"857"	"bugni"	"0"	"0"	"1"	"0"
"858"	"bulgarini"	"0"	"0"	"1"	"0"
"859"	"buono"	"0"	"0"	"1"	"0"
"860"	"buonvicino"	"0"	"0"	"1"	"0"
"861"	"buora"	"0"	"0"	"1"	"0"
"862"	"buratti"	"0"	"0"	"1"	"0"
"863"	"busca"	"1"	"0"	"1"	"0"
"864"	"buselli"	"0"	"0"	"1"	"0"
"865"	"busenello"	"0"	"0"	"1"	"0"
"866"	"busida"	"1"	"0"	"1"	"0"
"867"	"butta"	"1"	"0"	"1"	"0"
"868"	"buzacarini"	"0"	"0"	"1"	"0"
"869"	"cabianca"	"1"	"0"	"1"	"0"
"870"	"cabrini"	"1"	"0"	"1"	"0"
"871"	"cacchi"	"0"	"0"	"1"	"0"
"872"	"calcagnini"	"0"	"0"	"1"	"0"
"873"	"caldiera"	"0"	"0"	"1"	"0"
"874"	"calegari"	"1"	"0"	"1"	"0"
"875"	"calegarini"	"0"	"0"	"1"	"0"
"876"	"caliari fantinelli"	"0"	"0"	"1"	"0"
"877"	"calogerà"	"0"	"0"	"1"	"0"
"878"	"caloprini"	"0"	"0"	"1"	"0"
"879"	"calvi"	"1"	"0"	"1"	"0"
"880"	"calzavara"	"1"	"0"	"1"	"0"
"881"	"campana"	"0"	"0"	"1"	"0"
"882"	"campelli"	"1"	"0"	"1"	"0"
"883"	"campisano"	"0"	"0"	"1"	"0"
"884"	"campitano"	"0"	"0"	"1"	"0"
"885"	"candi"	"0"	"0"	"1"	"0"
"886"	"canizza"	"0"	"0"	"1"	"0"
"887"	"canzio"	"0"	"0"	"1"	"0"
"888"	"caolini"	"0"	"0"	"1"	"0"
"889"	"caopenna"	"0"	"0"	"1"	"0"
"890"	"cappella"	"0"	"0"	"1"	"0"
"891"	"cappellis"	"0"	"0"	"1"	"0"
"892"	"cappi"	"0"	"0"	"1"	"0"
"893"	"capra"	"1"	"0"	"1"	"0"
"894"	"carandolo"	"0"	"0"	"1"	"0"
"895"	"caratoni"	"0"	"0"	"1"	"0"
"896"	"carboni"	"1"	"0"	"1"	"0"
"897"	"carcano"	"1"	"0"	"1"	"0"
"898"	"cardinali"	"0"	"0"	"1"	"0"
"899"	"carli"	"1"	"0"	"1"	"0"
"900"	"carlo"	"0"	"0"	"1"	"0"
"901"	"carlotti"	"1"	"0"	"1"	"0"
"902"	"caroldo"	"0"	"0"	"1"	"0"
"903"	"carpegno"	"0"	"0"	"1"	"0"
"904"	"carugo"	"0"	"0"	"1"	"0"
"905"	"casaluna"	"0"	"0"	"1"	"0"
"906"	"casser"	"1"	"0"	"1"	"0"
"907"	"cassina"	"0"	"0"	"1"	"0"
"908"	"castellano"	"0"	"0"	"1"	"0"
"909"	"catabon"	"0"	"0"	"1"	"0"
"910"	"catena"	"0"	"0"	"1"	"0"
"911"	"catenazzo"	"0"	"0"	"1"	"0"
"912"	"cattabeni"	"0"	"0"	"1"	"0"
"913"	"cattaneo"	"1"	"0"	"1"	"0"
"914"	"caurlini"	"0"	"0"	"1"	"0"
"915"	"cavaletti"	"0"	"0"	"1"	"0"
"916"	"cavanis"	"0"	"0"	"1"	"0"
"917"	"cavartino"	"0"	"0"	"1"	"0"
"918"	"cavazzeni"	"0"	"0"	"1"	"0"
"919"	"cavedali"	"0"	"0"	"1"	"0"
"920"	"cavrioli"	"0"	"0"	"1"	"0"
"921"	"cechel"	"0"	"0"	"1"	"0"
"922"	"cegia"	"0"	"0"	"1"	"0"
"923"	"cegrini"	"0"	"0"	"1"	"0"
"924"	"celega"	"0"	"0"	"1"	"0"
"925"	"celeste"	"0"	"0"	"1"	"0"
"926"	"cellini"	"0"	"0"	"1"	"0"
"927"	"cenighi"	"0"	"0"	"1"	"0"
"928"	"centoni"	"0"	"0"	"1"	"0"
"929"	"cerchieri"	"0"	"0"	"1"	"0"
"930"	"ceroni"	"1"	"0"	"1"	"0"
"931"	"cesana"	"1"	"0"	"1"	"0"
"932"	"chieregato"	"0"	"0"	"1"	"0"
"933"	"chiesa"	"1"	"0"	"1"	"0"
"934"	"chiodo"	"1"	"0"	"1"	"0"
"935"	"chizzal"	"0"	"0"	"1"	"0"
"936"	"cibellini"	"0"	"0"	"1"	"0"
"937"	"ciera"	"1"	"0"	"1"	"0"
"938"	"gigala"	"0"	"0"	"1"	"0"
"939"	"cigotto"	"0"	"0"	"1"	"0"
"940"	"cima"	"1"	"0"	"1"	"0"
"941"	"ciola"	"1"	"0"	"1"	"0"
"942"	"cipriani"	"0"	"0"	"1"	"0"
"943"	"civiano"	"0"	"0"	"1"	"0"
"944"	"civrani"	"0"	"0"	"1"	"1"
"945"	"clario"	"1"	"0"	"1"	"0"
"946"	"cocco"	"0"	"0"	"1"	"0"
"947"	"coderta"	"0"	"0"	"1"	"0"
"948"	"coletti"	"1"	"0"	"1"	"0"
"949"	"colle"	"0"	"0"	"1"	"0"
"950"	"collini"	"0"	"0"	"1"	"0"
"951"	"colombina"	"0"	"0"	"1"	"0"
"952"	"colombini"	"0"	"0"	"1"	"0"
"953"	"colombo"	"1"	"0"	"1"	"0"
"954"	"colti"	"0"	"0"	"1"	"0"
"955"	"combi"	"1"	"0"	"1"	"0"
"956"	"comincioli"	"1"	"0"	"1"	"0"
"957"	"comino"	"0"	"0"	"1"	"0"
"958"	"commandini"	"0"	"0"	"1"	"0"
"959"	"compostelli"	"0"	"0"	"1"	"0"
"960"	"condulmeri"	"0"	"0"	"1"	"0"
"961"	"contini"	"1"	"0"	"1"	"0"
"962"	"conzardi"	"0"	"0"	"1"	"0"
"963"	"coradini"	"1"	"0"	"1"	"0"
"964"	"corado"	"0"	"0"	"1"	"0"
"965"	"corbelli"	"0"	"0"	"1"	"0"
"966"	"corboli"	"0"	"0"	"1"	"0"
"967"	"cordes"	"0"	"0"	"1"	"0"
"968"	"coreggi"	"0"	"0"	"1"	"0"
"969"	"corneri"	"0"	"0"	"1"	"1"
"970"	"corniani"	"1"	"0"	"1"	"0"
"971"	"cornoldi"	"1"	"0"	"1"	"0"
"972"	"cornovi"	"0"	"0"	"1"	"0"
"973"	"corona"	"1"	"0"	"1"	"0"
"974"	"corte"	"0"	"0"	"1"	"0"
"975"	"cortivo"	"0"	"0"	"1"	"0"
"976"	"corvini"	"0"	"0"	"1"	"0"
"977"	"corvioni"	"0"	"0"	"1"	"0"
"978"	"cosmi"	"0"	"0"	"1"	"0"
"979"	"cossali"	"1"	"0"	"1"	"0"
"980"	"costa"	"1"	"0"	"1"	"0"
"981"	"costabeni"	"0"	"0"	"1"	"0"
"982"	"cotini"	"0"	"0"	"1"	"0"
"983"	"cotti"	"0"	"0"	"1"	"0"
"984"	"crasso"	"0"	"0"	"1"	"0"
"985"	"cremona"	"1"	"0"	"1"	"0"
"986"	"cresci"	"0"	"0"	"1"	"0"
"987"	"crespi"	"0"	"0"	"1"	"0"
"988"	"crestini"	"0"	"0"	"1"	"0"
"989"	"cristiano"	"0"	"0"	"1"	"1"
"990"	"crivelli"	"1"	"0"	"1"	"0"
"991"	"croce"	"0"	"0"	"1"	"0"
"992"	"crucis"	"1"	"0"	"1"	"0"
"993"	"cubli"	"0"	"0"	"1"	"0"
"994"	"cucina"	"0"	"0"	"1"	"0"
"995"	"cucuoli"	"0"	"0"	"1"	"0"
"996"	"curnis"	"1"	"0"	"1"	"0"
"997"	"custiano"	"0"	"0"	"1"	"0"
"998"	"d'adda"	"0"	"0"	"1"	"0"
"999"	"da brazzo"	"0"	"0"	"1"	"0"
"1000"	"da fin"	"0"	"0"	"1"	"0"
"1001"	"da lucca"	"0"	"0"	"1"	"0"
"1002"	"dall'ast"	"0"	"0"	"1"	"0"
"1003"	"dalla bella"	"0"	"0"	"1"	"0"
"1004"	"dalla riva"	"0"	"0"	"1"	"0"
"1005"	"dalla seda"	"0"	"0"	"1"	"0"
"1006"	"dalla siega"	"0"	"0"	"1"	"0"
"1007"	"dalla valle"	"0"	"0"	"1"	"0"
"1008"	"dalla vecchia"	"0"	"0"	"1"	"0"
"1009"	"dalla vedoa"	"0"	"0"	"1"	"0"
"1010"	"dalla vigna"	"0"	"0"	"1"	"0"
"1011"	"dall'oio"	"0"	"0"	"1"	"0"
"1012"	"de portico"	"0"	"0"	"1"	"0"
"1013"	"damiani"	"1"	"0"	"1"	"0"
"1014"	"dana"	"0"	"0"	"1"	"0"
"1015"	"dardani"	"0"	"0"	"1"	"0"
"1016"	"dardini"	"0"	"0"	"1"	"0"
"1017"	"darduino"	"0"	"0"	"1"	"0"
"1018"	"dario"	"1"	"0"	"1"	"0"
"1019"	"dario paulucci"	"0"	"0"	"1"	"0"
"1020"	"darvasio"	"0"	"0"	"1"	"0"
"1021"	"davanzo"	"0"	"0"	"1"	"0"
"1022"	"david"	"0"	"0"	"1"	"0"
"1023"	"davila"	"0"	"0"	"1"	"0"
"1024"	"daziari"	"0"	"0"	"1"	"0"
"1025"	"de episcopis"	"0"	"0"	"1"	"0"
"1026"	"de grazia"	"0"	"0"	"1"	"0"
"1027"	"delfino"	"0"	"0"	"1"	"1"
"1028"	"deli"	"0"	"0"	"1"	"0"
"1029"	"della costa"	"0"	"0"	"1"	"0"
"1030"	"de mezzo"	"0"	"0"	"1"	"0"
"1031"	"de micheli"	"0"	"0"	"1"	"0"
"1032"	"de monaci"	"0"	"0"	"1"	"0"
"1033"	"de page"	"0"	"0"	"1"	"0"
"1034"	"de pase"	"0"	"0"	"1"	"0"
"1035"	"de pietra"	"0"	"0"	"1"	"0"
"1036"	"de quadraginta"	"0"	"0"	"1"	"0"
"1037"	"desiderato"	"0"	"0"	"1"	"0"
"1038"	"desiderii"	"0"	"0"	"1"	"0"
"1039"	"de vescovis"	"0"	"0"	"1"	"0"
"1040"	"de vico"	"0"	"0"	"1"	"0"
"1041"	"di accenti"	"0"	"0"	"1"	"0"
