"id"	"famille"	1808	"Noble"	"Citoyen"	"famille.12e.siecle"
"119"	"di brenna"	"0"	"1"	"0"	"0"
"120"	"bressa"	"1"	"1"	"0"	"0"
"121"	"briani"	"1"	"1"	"1"	"0"
"122"	"brioci"	"0"	"1"	"0"	"0"
"123"	"bristolani"	"0"	"1"	"0"	"0"
"124"	"brunswick"	"0"	"1"	"0"	"0"
"125"	"da buora"	"0"	"1"	"0"	"0"
"126"	"buricaldi"	"0"	"1"	"0"	"0"
"127"	"busnadego"	"0"	"1"	"0"	"0"
"128"	"busneghi"	"0"	"1"	"0"	"0"
"129"	"calbo"	"1"	"1"	"1"	"1"
"130"	"calboni"	"0"	"1"	"0"	"0"
"131"	"calergi"	"1"	"1"	"0"	"0"
"132"	"cambigo"	"0"	"1"	"0"	"0"
"133"	"da camin"	"0"	"1"	"0"	"0"
"134"	"campo in collo"	"0"	"1"	"0"	"0"
"135"	"capoinello"	"0"	"1"	"0"	"0"
"136"	"canabri"	"0"	"1"	"0"	"0"
"137"	"canal"	"1"	"1"	"1"	"0"
"138"	"cancanigo"	"0"	"1"	"0"	"0"
"139"	"caotorta"	"1"	"1"	"1"	"0"
"140"	"capoani"	"0"	"1"	"0"	"0"
"141"	"cappello"	"1"	"1"	"1"	"0"
"142"	"caracciolo"	"0"	"1"	"0"	"0"
"143"	"caraffa"	"0"	"1"	"0"	"0"
"144"	"caravello"	"0"	"1"	"0"	"0"
"145"	"carbodici"	"0"	"1"	"0"	"0"
"146"	"carbonizi"	"0"	"1"	"0"	"0"
"147"	"caresini"	"0"	"1"	"1"	"0"
"148"	"carmagnola"	"0"	"1"	"0"	"0"
"149"	"carminati"	"1"	"1"	"0"	"0"
"150"	"garosi"	"0"	"1"	"0"	"0"
"151"	"carosi-cattarini"	"0"	"1"	"0"	"0"
"152"	"carrara"	"1"	"1"	"1"	"0"
"153"	"cassetti"	"1"	"1"	"1"	"0"
"154"	"castelli"	"1"	"1"	"1"	"0"
"155"	"castriotto"	"0"	"1"	"0"	"0"
"156"	"catanio"	"0"	"1"	"0"	"0"
"157"	"catti"	"0"	"1"	"1"	"0"
"158"	"cavagnis"	"1"	"1"	"1"	"0"
"159"	"cavalieri"	"1"	"1"	"0"	"0"
"160"	"cavalli"	"1"	"1"	"1"	"0"
"161"	"cavazza"	"1"	"1"	"1"	"0"
"162"	"celini"	"1"	"1"	"0"	"0"
"163"	"celsi"	"1"	"1"	"1"	"1"
"164"	"centani"	"0"	"1"	"1"	"0"
"165"	"centranigo"	"0"	"1"	"0"	"0"
"166"	"cerbani"	"0"	"1"	"0"	"0"
"167"	"cernovicchio"	"0"	"1"	"0"	"0"
"168"	"chigi"	"0"	"1"	"0"	"0"
"169"	"cibo"	"0"	"1"	"0"	"0"
"170"	"cicogna"	"1"	"1"	"1"	"0"
"171"	"civran-cocco"	"0"	"1"	"0"	"1"
"172"	"cocodrizi"	"0"	"1"	"0"	"0"
"173"	"codagnola"	"0"	"1"	"0"	"0"
"174"	"coleoni"	"0"	"1"	"0"	"0"
"175"	"collalto"	"1"	"1"	"1"	"0"
"176"	"colonna"	"0"	"1"	"1"	"0"
"177"	"comneni"	"0"	"1"	"0"	"0"
"178"	"condulmer"	"1"	"1"	"0"	"0"
"179"	"contanto"	"0"	"1"	"0"	"0"
"180"	"contento"	"0"	"1"	"0"	"0"
"181"	"contarini"	"1"	"1"	"1"	"1"
"182"	"contenti"	"0"	"1"	"0"	"0"
"183"	"de conti"	"0"	"1"	"0"	"0"
"184"	"conti"	"1"	"1"	"1"	"0"
"185"	"contrari"	"0"	"1"	"1"	"0"
"186"	"coppo"	"0"	"1"	"1"	"0"
"187"	"corbadizi"	"0"	"1"	"0"	"0"
"188"	"di cordova"	"0"	"1"	"0"	"0"
"189"	"cornaro"	"0"	"1"	"0"	"0"
"190"	"dal corno"	"0"	"1"	"0"	"0"
"191"	"corregio"	"1"	"1"	"0"	"0"
"192"	"correr"	"1"	"1"	"0"	"0"
"193"	"corvino"	"0"	"1"	"0"	"0"
"194"	"cosazza"	"0"	"1"	"0"	"0"
"195"	"costantini"	"1"	"1"	"1"	"0"
"196"	"cottoni"	"1"	"1"	"0"	"0"
"197"	"crispo"	"0"	"1"	"0"	"0"
"198"	"crivello"	"0"	"1"	"0"	"0"
"199"	"crotta"	"1"	"1"	"1"	"0"
"200"	"curti"	"1"	"1"	"0"	"0"
"201"	"dandolo"	"1"	"1"	"1"	"1"
"202"	"danti"	"0"	"1"	"0"	"0"
"203"	"dauli"	"0"	"1"	"0"	"0"
"204"	"dedo"	"0"	"1"	"1"	"1"
"205"	"delfinigo"	"0"	"1"	"0"	"0"
"206"	"delia"	"0"	"1"	"0"	"0"
"207"	"dente"	"1"	"1"	"1"	"0"
"208"	"desiaspinal"	"0"	"1"	"0"	"0"
"209"	"diedo"	"1"	"1"	"1"	"0"
"210"	"diesenove"	"0"	"1"	"0"	"0"
"211"	"dobiso"	"0"	"1"	"0"	"0"
"212"	"dolce"	"1"	"1"	"1"	"0"
"213"	"dolfin"	"1"	"1"	"1"	"1"
"214"	"gradenigo"	"1"	"1"	"1"	"1"
"215"	"donà dalle rose"	"0"	"1"	"0"	"0"
"216"	"donà"	"0"	"1"	"0"	"0"
"217"	"dondi"	"1"	"1"	"0"	"1"
"218"	"orologio"	"0"	"1"	"0"	"0"
"219"	"donini"	"1"	"1"	"1"	"0"
"220"	"donisdio"	"0"	"1"	"0"	"0"
"221"	"donusdio"	"0"	"1"	"0"	"0"
"222"	"donusdei"	"0"	"1"	"0"	"0"
"223"	"diodisdio"	"0"	"1"	"0"	"0"
"224"	"dono"	"0"	"1"	"0"	"0"
"225"	"donzorzi"	"0"	"1"	"0"	"0"
"226"	"donzuane"	"0"	"1"	"0"	"0"
"227"	"doro"	"0"	"1"	"0"	"0"
"228"	"dotto"	"0"	"1"	"0"	"0"
"229"	"drusiano"	"0"	"1"	"0"	"0"
"230"	"duodo"	"1"	"1"	"1"	"0"
"231"	"emo"	"1"	"1"	"1"	"1"
"232"	"enzo"	"0"	"1"	"1"	"0"
"233"	"erizzo"	"1"	"1"	"1"	"0"
"234"	"d'este"	"0"	"1"	"0"	"0"
"235"	"fabricii"	"0"	"1"	"0"	"0"
"236"	"fabriciaci"	"0"	"1"	"0"	"0"
"237"	"fabricini"	"0"	"1"	"0"	"0"
"238"	"falier"	"1"	"1"	"0"	"1"
"239"	"da fano"	"0"	"1"	"0"	"0"
"240"	"farnese"	"0"	"1"	"0"	"0"
"241"	"farsetti"	"1"	"1"	"0"	"0"
"242"	"favro"	"1"	"1"	"0"	"0"
"243"	"fazio"	"0"	"1"	"1"	"0"
"244"	"feramosca"	"0"	"1"	"0"	"0"
"245"	"ferro"	"1"	"1"	"1"	"0"
"246"	"da ferrara"	"0"	"1"	"0"	"0"
"247"	"filiberto"	"0"	"1"	"0"	"0"
"248"	"fini"	"1"	"1"	"0"	"0"
"249"	"fiolo"	"0"	"1"	"0"	"0"
"250"	"flangini"	"1"	"1"	"1"	"0"
"251"	"fondanisi"	"0"	"1"	"0"	"0"
"252"	"fontanisi"	"0"	"1"	"0"	"0"
"253"	"fonseca"	"0"	"1"	"0"	"0"
"254"	"fontana"	"1"	"1"	"1"	"0"
"255"	"fonte"	"1"	"1"	"0"	"0"
"256"	"dalle fornaci"	"0"	"1"	"1"	"0"
"257"	"foscari"	"1"	"1"	"1"	"1"
"258"	"foscarini"	"1"	"1"	"1"	"1"
"259"	"foscolo"	"1"	"1"	"1"	"1"
"260"	"fracassetti"	"1"	"1"	"0"	"0"
"261"	"franco"	"1"	"1"	"1"	"0"
"262"	"frangipani"	"0"	"1"	"0"	"0"
"263"	"dalla franziada"	"0"	"1"	"0"	"0"
"264"	"dalla frascada"	"0"	"1"	"0"	"0"
"265"	"fratello"	"0"	"1"	"0"	"0"
"266"	"gabrieli"	"1"	"1"	"0"	"0"
"267"	"galaresso"	"0"	"1"	"0"	"0"
"268"	"galatazzi"	"0"	"1"	"0"	"0"
"269"	"gallo"	"1"	"1"	"1"	"1"
"270"	"galissa"	"0"	"1"	"0"	"0"
"271"	"gallina"	"0"	"1"	"1"	"0"
"272"	"gambara"	"1"	"1"	"1"	"0"
"273"	"gambaro"	"0"	"1"	"0"	"0"
"274"	"garzoni"	"1"	"1"	"1"	"0"
"275"	"gauli"	"0"	"1"	"0"	"0"
"276"	"gay"	"0"	"1"	"0"	"0"
"277"	"gezzo"	"0"	"1"	"0"	"0"
"278"	"ghedini"	"1"	"1"	"0"	"0"
"279"	"gheltof"	"1"	"1"	"0"	"0"
"280"	"ghirardini"	"0"	"1"	"0"	"0"
"281"	"ghisi"	"0"	"1"	"0"	"1"
"282"	"ginio"	"0"	"1"	"0"	"0"
"283"	"giovanelli"	"1"	"1"	"1"	"0"
"284"	"girardi"	"1"	"1"	"1"	"0"
"285"	"giupponi"	"1"	"1"	"0"	"0"
"286"	"giustinian"	"1"	"1"	"0"	"1"
"287"	"gonzaga"	"0"	"1"	"0"	"0"
"288"	"gozzi"	"1"	"1"	"0"	"0"
"289"	"grasisi"	"0"	"1"	"0"	"0"
"290"	"grassoni"	"0"	"1"	"0"	"0"
"291"	"grego"	"1"	"1"	"0"	"0"
"292"	"grimani"	"1"	"1"	"1"	"1"
"293"	"grioni"	"1"	"1"	"0"	"0"
"294"	"grisoni"	"0"	"1"	"1"	"1"
"295"	"gritti"	"1"	"1"	"1"	"0"
"296"	"guardadio"	"0"	"1"	"0"	"0"
"297"	"guberto"	"0"	"1"	"0"	"0"
"298"	"guerra"	"1"	"1"	"1"	"0"
"299"	"gugno"	"0"	"1"	"0"	"0"
"300"	"gunigi"	"0"	"1"	"0"	"0"
"301"	"guoro"	"0"	"1"	"0"	"0"
"302"	"gussoni"	"1"	"1"	"1"	"0"
"303"	"hezzo"	"0"	"1"	"0"	"0"
"304"	"ialina"	"0"	"1"	"0"	"0"
"305"	"ingolo"	"0"	"1"	"0"	"0"
"306"	"istrigo"	"0"	"1"	"0"	"0"
"307"	"da jesolo"	"0"	"1"	"0"	"0"
"308"	"labia"	"1"	"1"	"1"	"0"
"309"	"laghi"	"1"	"1"	"0"	"0"
"310"	"benati"	"0"	"1"	"0"	"0"
"311"	"lambeschi"	"0"	"1"	"0"	"0"
"312"	"lando"	"0"	"1"	"1"	"1"
"313"	"lanzuoli"	"0"	"1"	"0"	"0"
"314"	"larghi"	"0"	"1"	"0"	"0"
"315"	"lazzari"	"1"	"1"	"1"	"0"
"316"	"leoni"	"1"	"1"	"1"	"0"
"317"	"da lezzo"	"0"	"1"	"0"	"0"
"318"	"lin"	"1"	"1"	"0"	"0"
"319"	"lion gavazza"	"0"	"1"	"0"	"0"
"320"	"lion"	"1"	"1"	"1"	"0"
"321"	"lippomano"	"1"	"1"	"0"	"0"
"322"	"lisiado"	"0"	"1"	"0"	"0"
"323"	"lolino"	"0"	"1"	"0"	"0"
"324"	"lombardo"	"1"	"1"	"0"	"0"
"325"	"lombria"	"0"	"1"	"0"	"0"
"326"	"longo"	"1"	"1"	"1"	"1"
"327"	"loredan"	"1"	"1"	"0"	"0"
"328"	"lorena"	"0"	"1"	"0"	"0"
"329"	"de lorenzo"	"0"	"1"	"0"	"0"
"330"	"de luca"	"0"	"1"	"0"	"0"
"331"	"lucari"	"0"	"1"	"0"	"0"
"332"	"ludovisi"	"0"	"1"	"0"	"0"
"333"	"lugnani"	"0"	"1"	"0"	"0"
"334"	"lupanizzi"	"0"	"1"	"0"	"0"
"335"	"lup√¨n"	"0"	"1"	"0"	"0"
"336"	"lusignano"	"0"	"1"	"0"	"0"
"337"	"lussemburgo"	"0"	"1"	"0"	"0"
"338"	"macarelli"	"0"	"1"	"0"	"0"
"339"	"maffetti"	"1"	"1"	"1"	"0"
"340"	"maganesi"	"0"	"1"	"0"	"0"
"341"	"magno"	"1"	"1"	"1"	"1"
"342"	"mainan"	"0"	"1"	"0"	"0"
"343"	"maistrorso"	"0"	"1"	"0"	"0"
"344"	"malatesta"	"0"	"1"	"0"	"0"
"345"	"malaza"	"0"	"1"	"0"	"0"
"346"	"malipiero"	"1"	"1"	"1"	"1"
"347"	"mancini"	"0"	"1"	"0"	"0"
"348"	"manfredi"	"1"	"1"	"1"	"0"
"349"	"manfrotto"	"0"	"1"	"1"	"0"
"350"	"manin"	"1"	"1"	"0"	"0"
"351"	"manolesso"	"1"	"1"	"0"	"1"
"352"	"manzoni"	"1"	"1"	"1"	"0"
"353"	"marango"	"0"	"1"	"0"	"0"
"354"	"marcello"	"1"	"1"	"1"	"0"
"355"	"marcipagani"	"0"	"1"	"0"	"0"
"356"	"da mare"	"0"	"1"	"0"	"0"
"357"	"marini"	"1"	"1"	"1"	"0"
"358"	"marioni"	"1"	"1"	"1"	"0"
"359"	"marmera"	"0"	"1"	"0"	"0"
"360"	"marono"	"0"	"1"	"0"	"0"
"361"	"martinazzo"	"0"	"1"	"0"	"0"
"362"	"martinelli"	"1"	"1"	"1"	"0"
"363"	"martinengo"	"1"	"1"	"1"	"0"
"364"	"martini"	"1"	"1"	"1"	"0"
